# T_K Q_known Q_missing Q_estimated missing_fraction
9.99078533e+01 4.74652371e+03 8.78725248e-21 4.74652371e+03 1.85130277e-24
1.02034535e+02 4.92152201e+03 3.04013060e-20 4.92152201e+03 6.17721630e-24
1.04206486e+02 5.10351296e+03 1.02539978e-19 5.10351296e+03 2.00920384e-23
1.06424670e+02 5.29281186e+03 3.37354292e-19 5.29281186e+03 6.37381983e-23
1.08690072e+02 5.48974913e+03 1.08317019e-18 5.48974913e+03 1.97307775e-22
1.11003696e+02 5.69467099e+03 3.39582498e-18 5.69467099e+03 5.96316273e-22
1.13366568e+02 5.90794020e+03 1.04003547e-17 5.90794020e+03 1.76040284e-21
1.15779738e+02 6.12993678e+03 3.11327052e-17 6.12993678e+03 5.07879711e-21
1.18244275e+02 6.36105883e+03 9.11294231e-17 6.36105883e+03 1.43261406e-20
1.20761274e+02 6.60172332e+03 2.60961427e-16 6.60172332e+03 3.95292888e-20
1.23331851e+02 6.85236691e+03 7.31422996e-16 6.85236691e+03 1.06740197e-19
1.25957146e+02 7.11344690e+03 2.00738194e-15 7.11344690e+03 2.82195393e-19
1.28638324e+02 7.38544206e+03 5.39698232e-15 7.38544206e+03 7.30759551e-19
1.31376575e+02 7.66885365e+03 1.42206045e-14 7.66885365e+03 1.85433249e-18
1.34173113e+02 7.96420641e+03 3.67378569e-14 7.96420641e+03 4.61287101e-18
1.37029180e+02 8.27204954e+03 9.30930133e-14 8.27204954e+03 1.12539236e-17
1.39946042e+02 8.59295783e+03 2.31474396e-13 8.59295783e+03 2.69376855e-17
1.42924994e+02 8.92753275e+03 5.64992750e-13 8.92753275e+03 6.32865502e-17
1.45967357e+02 9.27640363e+03 1.35426829e-12 9.27640363e+03 1.45990660e-16
1.49074482e+02 9.64022883e+03 3.18898768e-12 9.64022883e+03 3.30799998e-16
1.52247745e+02 1.00196970e+04 7.37986175e-12 1.00196970e+04 7.36535418e-16
1.55488557e+02 1.04155285e+04 1.67899139e-11 1.04155285e+04 1.61200786e-15
1.58798353e+02 1.08284765e+04 3.75671191e-11 1.08284765e+04 3.46928942e-15
1.62178603e+02 1.12593287e+04 8.26946866e-11 1.12593287e+04 7.34454860e-15
1.65630807e+02 1.17089083e+04 1.79145365e-10 1.17089083e+04 1.52999204e-14
1.69156496e+02 1.21780761e+04 3.82064501e-10 1.21780761e+04 3.13731411e-14
1.72757234e+02 1.26677317e+04 8.02440441e-10 1.26677317e+04 6.33452352e-14
