# ['MStar', 'MRate', 'Rdisc', 'Arho0', 'cavity_ang', 'incl']
18.91339999 0.00116270 552.49173378 1.99190708 25.45157825 27.91952831
18.91339999 0.00116270 552.49173378 1.99190708 25.45157825 27.91952831
18.91339999 0.00116270 552.49173378 1.99190708 25.45157825 27.91952831
18.91339999 0.00116270 552.49173378 1.99190708 25.45157825 27.91952831
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.89777040 0.00116033 552.49310318 2.00089456 25.53310700 27.87862216
18.83510341 0.00115929 552.53293673 1.99534270 26.05435674 27.92688432
18.83510341 0.00115929 552.53293673 1.99534270 26.05435674 27.92688432
18.83510341 0.00115929 552.53293673 1.99534270 26.05435674 27.92688432
18.82439749 0.00116184 552.54930821 1.99000442 25.72322743 27.90030226
18.82439749 0.00116184 552.54930821 1.99000442 25.72322743 27.90030226
18.82439749 0.00116184 552.54930821 1.99000442 25.72322743 27.90030226
18.82439749 0.00116184 552.54930821 1.99000442 25.72322743 27.90030226
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
18.82978367 0.00116199 552.60282620 1.99053264 25.67643494 27.88511102
