# ['MStar', 'MRate', 'Rdisc']
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
34.73101483 0.00085457 602.11466516
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
35.29906344 0.00084188 623.85961471
36.27752707 0.00083487 631.99212604
36.27752707 0.00083487 631.99212604
36.27752707 0.00083487 631.99212604
36.36758839 0.00083327 634.31170254
36.36758839 0.00083327 634.31170254
36.36758839 0.00083327 634.31170254
37.24074983 0.00082026 643.63442120
37.24074983 0.00082026 643.63442120
37.67970004 0.00081362 647.91626959
37.67960762 0.00080834 648.37021276
37.67960762 0.00080834 648.37021276
37.67960762 0.00080834 648.37021276
37.67960762 0.00080834 648.37021276
37.67960762 0.00080834 648.37021276
37.67960762 0.00080834 648.37021276
37.56791882 0.00080547 649.47224793
37.56791882 0.00080547 649.47224793
37.56791882 0.00080547 649.47224793
37.56791882 0.00080547 649.47224793
37.56791882 0.00080547 649.47224793
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.66654102 0.00080370 649.88104956
37.69151251 0.00080525 649.95441506
37.93970544 0.00081458 650.42975135
37.93970544 0.00081458 650.42975135
37.93970544 0.00081458 650.42975135
37.93970544 0.00081458 650.42975135
37.89426171 0.00080839 650.57972844
37.89426171 0.00080839 650.57972844
37.89426171 0.00080839 650.57972844
37.89426171 0.00080839 650.57972844
37.89426171 0.00080839 650.57972844
37.93515678 0.00080944 650.66220151
37.93515678 0.00080944 650.66220151
37.93515678 0.00080944 650.66220151
38.06025152 0.00081524 650.90469786
38.06025152 0.00081524 650.90469786
38.00147263 0.00081373 651.06114483
38.00147263 0.00081373 651.06114483
38.00147263 0.00081373 651.06114483
38.00147263 0.00081373 651.06114483
37.96573794 0.00081270 651.09571338
37.96573794 0.00081270 651.09571338
37.96573794 0.00081270 651.09571338
37.96573794 0.00081270 651.09571338
37.96573794 0.00081270 651.09571338
37.96573794 0.00081270 651.09571338
37.95071767 0.00081285 651.14456844
37.95071767 0.00081285 651.14456844
37.95071767 0.00081285 651.14456844
37.95071767 0.00081285 651.14456844
37.91198257 0.00081209 651.03923118
37.91198257 0.00081209 651.03923118
37.91198257 0.00081209 651.03923118
37.91198257 0.00081209 651.03923118
37.97463939 0.00081366 651.12564972
37.97463939 0.00081366 651.12564972
37.97463939 0.00081366 651.12564972
37.97463939 0.00081366 651.12564972
37.99305019 0.00081324 651.16749149
37.99305019 0.00081324 651.16749149
37.99305019 0.00081324 651.16749149
37.99305019 0.00081324 651.16749149
37.99305019 0.00081324 651.16749149
37.99305019 0.00081324 651.16749149
38.13236409 0.00081707 651.32167921
38.13236409 0.00081707 651.32167921
38.12226669 0.00081747 651.39458586
38.12226669 0.00081747 651.39458586
38.12226669 0.00081747 651.39458586
38.12226669 0.00081747 651.39458586
38.12226669 0.00081747 651.39458586
38.13447137 0.00081814 651.42636345
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.23121742 0.00081713 651.44244905
38.34992603 0.00081793 651.48687367
38.36266849 0.00081819 651.49344510
38.32328975 0.00081911 651.50407502
38.32328975 0.00081911 651.50407502
38.32480130 0.00081889 651.51230942
38.27770611 0.00081709 651.50876419
20.04694077 0.00206777 139.35237121
20.04694077 0.00206777 139.35237121
20.24632181 0.00205626 145.16043248
20.24632181 0.00205626 145.16043248
20.24632181 0.00205626 145.16043248
20.24632181 0.00205626 145.16043248
20.24632181 0.00205626 145.16043248
20.32846288 0.00207383 149.17754976
